C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
37  ;HD 199580                          ;PM*;20 56 48.0211616347 +42 53 44.389479299;     ~   ;8.17     ;     ~   ;6.6      ;     ~   ;K1IV                 ;  75;   0
38  ;* nu. Cyg                          ;** ;20 57 10.4187305125 +41 10 01.671428052;3.96     ;3.96     ;3.94     ;3.89     ;3.89     ;A0IIIn               ; 163;   0
39  ;* ksi Cyg                          ;SB*;21 04 55.8599363125 +43 55 40.272058234;7.17     ;5.39     ;3.73     ;2.55     ;1.63     ;K4.5Ib-II            ; 324;   0
40  ;* rho Cyg                          ;PM*;21 33 58.8530450102 +45 35 30.620055459;5.47     ;4.91     ;4.02     ;3.31     ;2.81     ;G8IIIFe-0.5          ; 211;   0
41  ;V* W Cyg                           ;AB*;21 36 02.4974143922 +45 22 28.523281074;8.21     ;6.97     ;5.38     ;3.03     ;0.89     ;M4e-M6eIII           ; 189;   0
42  ;* alf Lac                          ;PM*;22 31 17.5014213452 +50 16 56.969913082;3.78     ;3.78     ;3.77     ;3.77     ;3.80     ;A1V                  ; 270;   0
43  ;* 4 Lac                            ;s*b;22 24 30.9914928480 +49 28 35.010584652;4.33     ;4.67     ;4.58     ;4.45     ;4.35     ;B9Iab-Ib             ; 188;   0
44  ;* 9 Lac                            ;PM*;22 37 22.4179184437 +51 32 42.435680257;4.98     ;4.87     ;4.63     ;4.41     ;4.27     ;A9VkA7mA6            ;  83;   0
45  ;HD 214780                          ;PM*;22 39 34.2196821936 +51 09 20.306332332;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   ;  29;   0
46  ;HD 216275                          ;PM*;22 50 46.3454461008 +52 03 41.171295312;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   ;  61;   0
47  ;* 3 And                            ;PM*;23 04 10.9826882352 +50 03 07.525524888;     ~   ;5.71     ;     ~   ;4.0      ;     ~   ;K0IIIb               ; 134;   0
48  ;V* V424 Lac                        ;s*r;22 56 25.9983901008 +49 44 00.758688324;8.66     ;6.71     ;4.94     ;3.59     ;2.54     ;K5Ib                 ; 166;   0
49  ;* ksi Cas                          ;SB*;00 42 03.8922075864 +50 30 45.120403944;4.05     ;4.71     ;4.81     ;4.82     ;4.94     ;B3IV                 ; 148;   0
50  ;HD 9901                            ;** ;01 37 44.5061530704 +48 24 45.973985868;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   ;  40;   0
51  ;* ups Per                          ;PM*;01 37 59.5580239328 +48 37 41.563066970;6.29     ;4.85     ;3.57     ;2.61     ;1.96     ;K3-IIICN0.5          ; 244;   0
52  ;HD 17922                           ;SB*;02 54 14.1100760640 +42 35 19.626549792;     ~   ;7.398    ;     ~   ;6.6      ;     ~   ;F5                   ;  61;   0
