C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
305 ;HD 46317                           ;PM*;06 36 15.1329774216 +58 06 24.414539292;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;F5                   ;  52;   0
306 ;* psi01 Aur                        ;s*r;06 24 53.9015502096 +49 17 16.411221960;8.85     ;6.67     ;4.75     ;3.36     ;2.29     ;K5-M1Iab-Ib          ; 178;   0
307 ;HD 159062                          ;SB*;17 30 16.4279702616 +47 24 07.900960644;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G9V_Fe-0.8           ; 122;   0
308 ;* bet Dra                          ;*  ;17 30 25.9616959 +52 18 04.999351      ;4.43     ;3.79     ;2.81     ;2.12     ;1.64     ;G2Ib-IIa             ; 428;   0
309 ;* h Dra                            ;SB*;16 56 01.6911695305 +65 08 05.296785878;     ~   ;5.36     ;4.88     ;4.6      ;     ~   ;F8V                  ; 218;   0
310 ;* zet Dra                          ;** ;17 08 47.1877295740 +65 42 52.723177105;2.63     ;3.06     ;3.17     ;3.23     ;3.35     ;B8III                ; 248;   0
311 ;* eta UMi                          ;PM*;16 17 30.2702509656 +75 45 19.235082204;     ~   ;5.32     ;     ~   ;4.7      ;     ~   ;F5V                  ;  91;   0
312 ;* pi.01 UMi A                      ;PM*;15 29 11.1840953112 +80 26 54.967293348;     ~   ;7.25     ;     ~   ;6.2      ;     ~   ;G1.5V(n)             ; 127;   0
313 ;* pi.01 UMi B                      ;PM*;15 29 23.5918226712 +80 27 00.965393496;     ~   ;8.10     ;     ~   ;6.7      ;     ~   ;G9V                  ; 119;   0
314 ;HD 110533                          ;SB*;12 39 09.9618091992 +83 38 38.716528452;     ~   ;7.94     ;     ~   ;6.9      ;     ~   ;G0V                  ;  45;   0
315 ;HD 96511                           ;SB*;11 10 55.1418587568 +81 43 53.991108300;8.120    ;7.860    ;     ~   ;6.7      ;     ~   ;G0                   ;  63;   0
316 ;* 12 Lyn                           ;** ;06 46 14.13019 +59 26 30.0227          ;     ~   ;     ~   ;     ~   ;6.11     ;     ~   ;A2.5V                ; 106;   0
317 ;HD 47979                           ;PM*;06 44 11.5119379080 +53 17 45.375233028;     ~   ;7.35     ;     ~   ;5.6      ;     ~   ;K0                   ;  35;   0
318 ;HD 157373                          ;PM*;17 20 33.7543461984 +48 11 19.609735200;     ~   ;6.86     ;     ~   ;6.1      ;     ~   ;F4V                  ; 100;   0
319 ;HD 153344                          ;PM*;16 54 45.9766105323 +62 05 59.766331769;     ~   ;7.75     ;     ~   ;6.6      ;     ~   ;G5IV                 ;  72;   0
320 ;HD 150076                          ;PM*;16 34 35.6865532368 +63 15 32.272819344;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;K2                   ;  22;   0
321 ;V* R Dra                           ;Mi*;16 32 40.2265999080 +66 45 17.925901992;11.00    ;10.29    ;9.03     ;5.98     ;3.54     ;M4.5-6+e             ; 154;   0
322 ;* 15 Lyn                           ;** ;06 57 16.6052608 +58 25 21.940435      ;5.71     ;5.20     ;4.35     ;3.70     ;3.26     ;G2III                ; 124;   0
323 ;* 18 Lyn                           ;PM*;07 15 54.9036680448 +59 38 14.879169348;     ~   ;6.27     ;     ~   ;4.6      ;     ~   ;K2III                ; 100;   0
324 ;HD 154345                          ;PM*;17 02 36.4038090379 +47 04 54.764174452;     ~   ;7.50     ;     ~   ;6.3      ;     ~   ;G9                   ; 297;   1
325 ;HD 148374                          ;** ;16 23 47.1538745923 +61 41 47.293209688;     ~   ;     ~   ;     ~   ;6.77     ;     ~   ;G8III                ;  67;   0
326 ;* eta Dra                          ;PM*;16 23 59.4863284800 +61 30 51.155139060;4.35     ;3.65     ;2.74     ;2.12     ;1.66     ;G8-IIIab             ; 313;   0
327 ;* 9 UMi                            ;SB*;15 00 26.9468810316 +71 45 55.649775035;     ~   ;7.27     ;     ~   ;6.3      ;     ~   ;G0                   ;  73;   0
328 ;* bet UMi                          ;V* ;14 50 42.32580 +74 09 19.8142          ;5.32     ;3.55     ;2.08     ;0.97     ;0.21     ;K4-III               ; 344;   1
329 ;HD 104985                          ;HB*;12 05 15.1171894272 +76 54 20.642733144;     ~   ;     ~   ;     ~   ;5.2      ;     ~   ;G8.5IIIb             ; 172;   1
330 ;HD 66751                           ;PM*;08 10 20.4711791160 +69 43 30.296217000;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F8V                  ;  82;   0
331 ;HD 151044                          ;PM*;16 42 27.8123142480 +49 56 11.181141888;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F8V                  ; 141;   0
332 ;* 17 Dra A                         ;*  ;16 36 13.7213201496 +52 55 27.922363104;4.870    ;5.32     ;5.39     ;6.30     ;     ~   ;B9V                  ;  50;   0
333 ;HD 148329                          ;PM*;16 24 17.4415177091 +55 19 55.104341594;     ~   ;7.49     ;     ~   ;6.6      ;     ~   ;G1                   ;  41;   0
334 ;* tet Dra                          ;SB*;16 01 53.3449795946 +58 33 54.901935955;4.630    ;4.520    ;4.000    ;3.56     ;3.31     ;F9V                  ; 304;   0
335 ;HD 136064                          ;PM*;15 14 38.3389842926 +67 20 48.198556893;     ~   ;5.66     ;     ~   ;4.8      ;     ~   ;F8V                  ; 187;   0
336 ;* d UMa                            ;RS*;09 34 28.8594727848 +69 49 49.226541888;5.67     ;5.34     ;4.57     ;3.91     ;3.50     ;G5III-IV             ; 315;   0
337 ;* rho UMa                          ;*  ;09 02 32.6914772184 +67 37 46.622818272;8.17     ;6.29     ;4.76     ;3.29     ;2.03     ;M3IIICa1             ;  99;   0
338 ;* pi.01 UMa                        ;BY*;08 39 11.7046112880 +65 01 15.263122512;6.33     ;6.26     ;5.64     ;5.12     ;4.79     ;G0.5V                ; 609;   0
339 ;HD 57646                           ;*  ;07 24 57.0851293416 +51 53 14.131109328;     ~   ;7.388    ;5.783    ;4.51     ;3.59     ;K5III                ;  37;   0
340 ;HD 56169                           ;*  ;07 18 31.9772854248 +49 27 53.120846160;5.22     ;5.13     ;5.05     ;4.90     ;4.84     ;A4IIIn               ;  70;   0
341 ;HD 55575                           ;PM*;07 15 50.1391766472 +47 14 23.868404124;6.19     ;6.16     ;     ~   ;5.2      ;     ~   ;F9V                  ; 322;   0
342 ;HD 149105                          ;PM*;16 30 14.9572824360 +47 57 08.566465068;7.630    ;7.550    ;     ~   ;6.6      ;     ~   ;G0V                  ;  58;   0
343 ;HD 137687                          ;SB*;15 24 17.9536960038 +60 32 57.799608599;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G9                   ;  43;   0
344 ;V* RR UMi                          ;LP*;14 57 35.0095879431 +65 55 56.814643584;7.86     ;6.19     ;4.54     ;2.69     ;0.97     ;M4.5III              ; 195;   0
345 ;V* U UMi                           ;Mi*;14 17 19.9038938616 +66 47 39.211072116;     ~   ;10.31    ;7.10     ;6.75     ;     ~   ;M6-8e                ; 129;   0
346 ;HD 121146                          ;PM*;13 50 59.1186546840 +68 18 55.076466168;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;K2IV                 ;  93;   0
347 ;HD 108399                          ;PM*;12 26 24.1913552328 +71 55 47.379748908;8.220    ;7.360    ;     ~   ;5.7      ;     ~   ;G8III:               ;  28;   0
348 ;HD 94132                           ;PM*;10 53 30.7080658122 +69 51 13.972851143;     ~   ;6.92     ;     ~   ;5.3      ;     ~   ;G9IV                 ;  52;   0
349 ;* sig01 UMa                        ;*  ;09 08 23.4996723648 +66 52 23.642167080;     ~   ;6.66     ;5.136    ;5.55     ;     ~   ;K5III                ;  61;   1
350 ;* pi.02 UMa                        ;PM*;08 40 12.8171670288 +64 19 40.570243212;6.94     ;5.78     ;4.61     ;3.72     ;3.09     ;K1+III               ; 185;   1
351 ;* omi UMa                          ;PM*;08 30 15.8701566400 +60 43 05.405606188;4.79     ;4.27     ;3.42     ;2.76     ;2.31     ;G5III:               ; 271;   1
352 ;HD 138367                          ;PM*;15 28 51.9269930775 +57 26 42.644618278;     ~   ;7.36     ;     ~   ;6.6      ;     ~   ;F7V                  ;  50;   0
353 ;* iot Dra                          ;V* ;15 24 55.7738042889 +58 57 57.837111857;5.68     ;4.45     ;3.29     ;2.51     ;1.91     ;K2III                ; 428;   1
354 ;HD 127821                          ;PM*;14 30 46.0701500520 +63 11 08.830919544;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;F4IV                 ;  89;   0
355 ;HD 115061                          ;PM*;13 13 00.1924284288 +67 18 34.865059680;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;K2III                ;  39;   0
356 ;HD 115136                          ;PM*;13 13 28.0286435016 +67 17 16.646107200;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;K2III                ;  48;   0
357 ;* kap Dra                          ;Be*;12 33 28.9433168544 +69 47 17.659892220;3.18     ;3.75     ;3.89     ;3.84     ;3.92     ;B6IIIe               ; 395;   0
358 ;* lam Dra                          ;*  ;11 31 24.2216743198 +69 19 51.872628403;7.44     ;5.47     ;3.85     ;2.54     ;1.55     ;M0III-IIIaCa1        ; 140;   0
359 ;* 2 Dra                            ;PM*;11 36 02.7962436504 +69 19 22.628228484;     ~   ;     ~   ;     ~   ;4.6      ;     ~   ;K0III                ;  78;   0
360 ;V* VY UMa                          ;C* ;10 45 04.0305312384 +67 24 40.979062260;12.91    ;8.34     ;5.95     ;4.20     ;2.94     ;C-N5                 ; 209;   0
361 ;* h UMa                            ;PM*;09 31 31.7080711355 +63 03 42.695823224;4.10     ;4.00     ;3.67     ;3.33     ;3.15     ;F0V                  ; 147;   0
362 ;V* Y Lyn                           ;S* ;07 28 11.6165714400 +45 59 26.229456564;9.88     ;8.71     ;6.98     ;4.25     ;1.96     ;M6S                  ; 152;   0
363 ;* phi Her                          ;a2*;16 08 46.1762180496 +44 56 05.661355344;3.92     ;4.20     ;4.27     ;4.27     ;4.36     ;B9VspHgMn            ; 304;   1
364 ;HD 131507                          ;PM*;14 51 26.4355029480 +59 17 38.353217460;     ~   ;     ~   ;     ~   ;4.6      ;     ~   ;K4III                ;  90;   0
365 ;* i Dra                            ;LP?;13 51 25.9116350245 +64 43 23.812594629;8.12     ;6.23     ;4.66     ;3.05     ;1.69     ;M3.5III              ; 128;   0
366 ;HD 117043                          ;PM*;13 25 59.8583988255 +63 15 40.592317556;7.590    ;7.230    ;     ~   ;6.0      ;     ~   ;G6V                  ; 121;   0
367 ;V* RY Dra                          ;C* ;12 56 25.9112361600 +65 59 39.811665876;15.56    ;9.44     ;6.34     ;4.34     ;2.91     ;C-N3III:             ; 248;   0
368 ;* 38 UMa                           ;PM*;10 41 56.5948491936 +65 42 58.611081024;     ~   ;     ~   ;     ~   ;4.4      ;     ~   ;K2III                ;  77;   0
369 ;HD 87925                           ;PM*;10 10 22.2401581728 +62 54 56.253160728;8.840    ;8.090    ;     ~   ;6.5      ;     ~   ;K0                   ;  22;   0
370 ;HD 84406                           ;PM*;09 47 30.5452866360 +63 14 52.087772040;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G5                   ;  47;   0
371 ;HD 78249                           ;PM*;09 09 49.4248752960 +59 09 13.957967232;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;K1III-IV             ;  51;   0
372 ;* 14 Her                           ;PM*;16 10 24.3156759007 +43 49 03.507406809;     ~   ;7.57     ;     ~   ;6.1      ;     ~   ;K0V                  ; 483;   1
373 ;HD 128332                          ;PM*;14 34 15.9350177928 +57 03 54.925907440;     ~   ;6.97     ;     ~   ;6.2      ;     ~   ;F6V                  ;  63;   0
374 ;HD 122064                          ;PM*;13 57 32.0583598200 +61 29 34.300122540;8.510    ;7.530    ;     ~   ;5.9      ;     ~   ;K3V                  ; 144;   0
375 ;HD 113337                          ;PM*;13 01 46.9268934864 +63 36 36.795618540;     ~   ;     ~   ;     ~   ;5.8      ;     ~   ;F6V                  ; 130;   1
376 ;HD 111513                          ;PM*;12 48 49.1271634866 +61 22 42.187183871;     ~   ;7.97     ;     ~   ;6.9      ;     ~   ;G1                   ;  47;   1
377 ;HD 99747                           ;PM*;11 29 04.5627752352 +61 46 42.115706400;     ~   ;6.19     ;     ~   ;5.6      ;     ~   ;F5VkF0mA9            ; 126;   0
378 ;* alf UMa                          ;** ;11 03 43.67152 +61 45 03.7249          ;3.78     ;2.86     ;1.79     ;0.98     ;0.40     ;G9III+A7.5           ; 448;   0
379 ;* ups UMa                          ;dS*;09 50 59.3580562703 +59 02 19.441043584;4.19     ;4.10     ;3.81     ;3.47     ;3.31     ;F0                   ; 203;   0
380 ;HD 81702                           ;PM*;09 29 21.4839749376 +56 14 27.296743092;7.260    ;7.270    ;     ~   ;6.7      ;     ~   ;F2                   ;  39;   0
381 ;* 2 Her                            ;PM*;15 54 37.8497228904 +43 08 18.830085396;8.98     ;7.02     ;5.38     ;3.90     ;2.65     ;M3-III               ;  69;   0
382 ;* chi Her                          ;PM*;15 52 40.5410491705 +42 27 05.462878877;5.19     ;5.19     ;4.62     ;4.14     ;3.82     ;F8VFe-2Hdel-1        ; 533;   0
383 ;HD 128165                          ;PM*;14 33 28.8678463399 +52 54 31.647869736;     ~   ;8.22     ;     ~   ;6.7      ;     ~   ;K3                   ; 152;   0
384 ;HD 125333                          ;PM*;14 17 03.7514686968 +54 32 34.316813868;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;G5                   ;  30;   0
385 ;HD 100203                          ;** ;11 32 20.7203213760 +61 04 56.989156476;     ~   ;     ~   ;     ~   ;6.81     ;     ~   ;F8VmF5               ; 142;   0
386 ;HD 91948                           ;SB*;10 38 19.8668914032 +60 07 28.331526180;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F6V                  ;  52;   0
387 ;HD 79210                           ;SB*;09 14 22.7748624830 +52 41 11.791503353;     ~   ;9.388    ;     ~   ;6.8      ;     ~   ;K7V                  ; 349;   0
388 ;HD 79211                           ;PM*;09 14 24.6828466599 +52 41 10.902471910;     ~   ;7.966    ;     ~   ;6.8      ;     ~   ;M0V                  ; 341;   0
389 ;* f UMa                            ;PM*;09 08 52.2569720765 +51 36 16.731901694;4.87     ;4.75     ;4.48     ;4.21     ;4.10     ;kA3VmF5IIISr         ; 163;   0
390 ;HD 71148                           ;PM*;08 27 36.7846606556 +45 39 10.754559179;     ~   ;6.94     ;     ~   ;5.9      ;     ~   ;G1V                  ; 208;   0
391 ;HD 132254                          ;PM*;14 56 23.0403907176 +49 37 42.419704116;     ~   ;6.13     ;     ~   ;5.3      ;     ~   ;F8-V                 ; 147;   0
392 ;* 39 Boo                           ;** ;14 49 41.29265 +48 43 14.9077          ;     ~   ;8.41     ;8.30     ;6.41     ;     ~   ;F8V+F7V              ;  62;   0
393 ;* iot Boo                          ;dS*;14 16 09.9297628080 +51 22 02.028703692;5.01     ;4.95     ;4.75     ;4.60     ;4.51     ;A7V                  ; 174;   0
394 ;HD 234121                          ;PM*;14 16 12.1678485696 +51 22 34.750820928;     ~   ;9.17     ;     ~   ;6.9      ;     ~   ;K1V                  ;  38;   0
395 ;* tet Boo                          ;PM*;14 25 11.7969501601 +51 51 02.677224089;4.57     ;4.56     ;4.05     ;3.64     ;3.39     ;F7V                  ; 397;   0
396 ;* zet01 UMa                        ;SB*;13 23 55.5422805173 +54 55 31.295579890;2.11     ;2.271    ;2.220    ;2.10     ;2.12     ;A1.5Vas              ; 320;   0
397 ;* g UMa                            ;** ;13 25 13.5378333 +54 59 16.654781      ;4.260    ;4.180    ;4.010    ;3.85     ;3.78     ;A5V+M3-4V            ; 318;   0
398 ;HD 119992                          ;PM*;13 45 13.2127893129 +55 52 45.648023595;     ~   ;6.97     ;     ~   ;6.2      ;     ~   ;F7V                  ;  64;   0
399 ;* 83 UMa                           ;LP*;13 40 44.2727375839 +54 40 53.886035019;8.25     ;6.29     ;4.66     ;3.26     ;2.14     ;M2III                ; 149;   0
400 ;HD 116956                          ;BY*;13 25 45.5320130664 +56 58 13.776984840;8.540    ;8.090    ;     ~   ;6.8      ;     ~   ;G9V                  ; 139;   0
401 ;* eps UMa                          ;a2*;12 54 01.7495922 +55 57 35.362645      ;1.76     ;1.75     ;1.77     ;1.79     ;1.82     ;A1III-IVpkB9         ; 488;   0
402 ;* del UMa                          ;PM*;12 15 25.5598467041 +57 01 57.421119850;3.460    ;3.410    ;3.320    ;3.25     ;3.25     ;A2Vn                 ; 312;   0
403 ;V* Z UMa                           ;AB*;11 56 30.2260881624 +57 52 17.648864652;     ~   ;8.88     ;6.20     ;6.40     ;     ~   ;M5IIIv               ; 129;   0
404 ;* bet UMa                          ;PM*;11 01 50.4797515135 +56 22 56.761138187;2.35     ;2.35     ;2.37     ;2.31     ;2.35     ;A1IVps               ; 462;   0
405 ;* 36 UMa                           ;PM*;10 30 37.5792656400 +55 58 49.939689252;     ~   ;     ~   ;     ~   ;4.5      ;     ~   ;F8V                  ; 351;   0
406 ;* tet UMa                          ;PM*;09 32 51.4309337983 +51 40 38.333310508;3.67     ;3.64     ;3.18     ;2.74     ;2.47     ;F7V                  ; 435;   0
407 ;* iot UMa                          ;** ;08 59 12.45362 +48 02 30.5741          ;3.40     ;3.33     ;3.14     ;2.92     ;2.85     ;A6                   ; 307;   0
408 ;* 31 Lyn                           ;LP*;08 22 50.1094369374 +43 11 17.270175202;7.71     ;5.80     ;4.25     ;3.05     ;2.17     ;K4+III               ; 169;   0
409 ;HD 139341                          ;** ;15 36 02.22306 +39 48 08.9141          ;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;K1V                  ; 184;   0
410 ;HD 136580                          ;PM*;15 20 02.3167644144 +40 59 03.161040036;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F7V                  ;  60;   0
411 ;* g Boo                            ;HB*;14 28 37.8128784271 +49 50 41.461525045;     ~   ;6.44     ;     ~   ;5.1      ;     ~   ;G4III-IVFe-1         ; 136;   0
412 ;* gam UMa                          ;Em*;11 53 49.8473166 +53 41 41.135025      ;2.440    ;2.450    ;2.440    ;2.44     ;2.47     ;A0V                  ; 417;   0
413 ;HD 83804                           ;RG*;09 42 25.0274919576 +48 46 33.866390460;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;K0                   ;  33;   0
414 ;* lam Boo                          ;dS*;14 16 23.0184083839 +46 05 17.895459693;4.31     ;4.26     ;4.18     ;4.16     ;4.13     ;A0Va_lB              ; 363;   0
415 ;* eta UMa                          ;PM*;13 47 32.43776 +49 18 47.7602          ;0.99     ;1.67     ;1.86     ;1.98     ;2.16     ;B3V                  ; 630;   0
416 ;HD 118741                          ;** ;13 37 42.92771 +50 42 53.4288          ;9.660    ;8.010    ;6.450    ;5.30     ;4.24     ;M2.5II               ;  39;   0
417 ;HD 110833                          ;SB*;12 44 14.5460629801 +51 45 33.393759952;     ~   ;7.97     ;7.01     ;6.4      ;     ~   ;K3                   ; 174;   0
418 ;HD 108954                          ;PM*;12 30 50.1358011744 +53 04 35.784940872;     ~   ;     ~   ;     ~   ;5.9      ;     ~   ;F9V                  ; 136;   0
419 ;* 7 CVn                            ;PM*;12 30 02.8284914040 +51 32 08.275593444;     ~   ;6.72     ;     ~   ;5.9      ;     ~   ;F7V                  ;  68;   0
420 ;HD 97855                           ;PM*;11 16 04.0344771096 +52 46 23.384130708;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;F6VgF6mF3            ; 107;   0
421 ;HD 90508                           ;** ;10 28 03.88212 +48 47 05.6554          ;7.09     ;7.03     ;     ~   ;5.98     ;     ~   ;F9-V                 ; 247;   0
422 ;HD 88230                           ;PM*;10 11 22.1399492383 +49 27 15.251007087;9.23     ;7.94     ;6.61     ;5.36     ;4.56     ;K6VeFe-1             ; 494;   0
423 ;HD 89319                           ;PM*;10 19 26.7889384032 +48 23 48.346473156;     ~   ;     ~   ;     ~   ;5.4      ;     ~   ;K0                   ;  34;   0
424 ;* 15 LMi                           ;PM*;09 48 35.3713484808 +46 01 15.626615412;5.80     ;5.72     ;5.10     ;4.57     ;4.23     ;G0.5Va               ; 339;   0
425 ;* 41 Lyn                           ;PM*;09 28 39.9886724904 +45 36 05.331128364;     ~   ;6.389    ;5.393    ;6.54     ;     ~   ;K0III                ;  96;   1
426 ;* 10 UMa                           ;SB*;09 00 38.4734170729 +41 46 58.888412654;4.440    ;4.390    ;3.960    ;3.57     ;3.35     ;F3V+G5V              ; 357;   0
427 ;HD 135078                          ;PM*;15 11 57.6033864000 +36 45 16.975155024;     ~   ;8.00     ;     ~   ;6.8      ;     ~   ;G5                   ;  33;   0
428 ;* bet Boo                          ;PM*;15 01 56.7623044453 +40 23 26.046853660;5.21     ;4.47     ;3.52     ;2.85     ;2.37     ;G8IIIaFe-0.5         ; 267;   0
429 ;HD 127334                          ;PM*;14 29 36.8087722032 +41 47 45.285437076;7.370    ;7.050    ;     ~   ;5.9      ;     ~   ;G5VCH0.3             ; 196;   0
430 ;V* BY Boo                          ;LP?;14 07 55.7554099635 +43 51 16.028575533;8.52     ;6.86     ;5.28     ;3.43     ;1.77     ;M4.5III              ; 186;   0
431 ;HD 103430                          ;PM*;11 54 39.9400968168 +48 55 59.254930776;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G9                   ;  23;   0
432 ;* chi UMa                          ;PM*;11 46 03.0140687528 +47 46 45.855272276;6.06     ;4.90     ;3.72     ;2.84     ;2.24     ;K0.5IIIb:            ; 228;   0
433 ;HD 100030                          ;PM*;11 30 52.9511553936 +47 55 44.084921952;     ~   ;7.30     ;     ~   ;5.8      ;     ~   ;G9IV                 ;  49;   0
434 ;HD 92787                           ;PM*;10 43 32.8901986032 +46 12 13.947275952;     ~   ;5.51     ;     ~   ;5.0      ;     ~   ;F5III                ;  99;   0
435 ;HD 130817                          ;PM*;14 49 06.7428124992 +37 48 40.249575612;     ~   ;6.52     ;     ~   ;5.9      ;     ~   ;F2V                  ; 104;   0
436 ;HD 131111                          ;PM*;14 50 29.6463422376 +37 16 19.371107424;     ~   ;6.50     ;     ~   ;4.8      ;     ~   ;K0III-IV             ; 107;   0
437 ;* gam Boo                          ;dS*;14 32 04.6716795181 +38 18 29.693088076;3.33     ;3.21     ;3.02     ;2.88     ;2.80     ;A7IV+(n)             ; 267;   0
438 ;HD 126265                          ;SB*;14 23 31.3225243368 +39 19 40.006713612;7.900    ;7.800    ;     ~   ;6.9      ;     ~   ;~                    ;  44;   0
439 ;HD 116127                          ;SB*;13 20 51.0134981376 +43 59 24.696777840;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;F2                   ;  44;   0
440 ;V* V CVn                           ;Mi*;13 19 27.7658321448 +45 31 37.656251760;9.55     ;8.39     ;6.74     ;6.13     ;     ~   ;M4-M6e               ; 173;   0
441 ;V* Y CVn                           ;C* ;12 45 07.8260815656 +45 26 24.926308404;14.03    ;7.41     ;4.87     ;3.12     ;1.74     ;C-N5                 ; 493;   0
442 ;HD 101177                          ;** ;11 38 44.90018 +45 06 30.3054          ;7.05     ;7.00     ;     ~   ;6.1      ;     ~   ;G0V+K2V              ; 174;   0
443 ;HD 95768                           ;PM*;11 03 39.1528132272 +44 19 46.502775444;     ~   ;8.19     ;     ~   ;6.8      ;     ~   ;G8III-IV             ;  31;   0
444 ;HD 96127                           ;*  ;11 05 45.9486003336 +44 18 05.610297060;     ~   ;8.924    ;7.407    ;6.97     ;     ~   ;K2III                ;  43;   1
445 ;* psi UMa                          ;PM*;11 09 39.8082958358 +44 29 54.555917043;5.27     ;4.15     ;3.01     ;2.18     ;1.61     ;K1III                ; 294;   0
446 ;HD 92855                           ;SB*;10 44 00.6177142200 +46 12 23.939054532;     ~   ;7.86     ;     ~   ;6.9      ;     ~   ;F9V                  ; 100;   0
447 ;* lam UMa                          ;PM*;10 17 05.7792565752 +42 54 51.889698684;3.54     ;3.48     ;3.45     ;3.37     ;3.38     ;A1IV                 ; 198;   0
448 ;HD 89269                           ;PM*;10 18 51.9477652368 +44 02 53.954220509;     ~   ;7.31     ;     ~   ;6.2      ;     ~   ;G4V                  ; 160;   0
449 ;HD 77967                           ;PM*;09 06 51.2169178704 +38 16 42.369558456;     ~   ;     ~   ;     ~   ;6.3      ;     ~   ;F0                   ;  42;   0
450 ;HD 79392                           ;PM*;09 14 57.8506333200 +38 36 33.545422548;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F2                   ;  43;   0
451 ;HD 75782                           ;PM*;08 53 11.5182806712 +37 04 13.000010016;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G0                   ;  63;   0
452 ;* 51 Ari                           ;PM*;03 02 26.0263370112 +26 36 33.260418324;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G8V                  ; 176;   0
453 ;* alf Cet                          ;LP?;03 02 16.77307 +04 05 23.0596          ;6.10     ;4.17     ;2.53     ;1.18     ;0.02     ;M1.5IIIa             ; 480;   1
454 ;* tau03 Eri                        ;PM*;03 02 23.4993592222 -23 37 28.098204536;4.33     ;4.25     ;4.09     ;3.96     ;3.87     ;A3IV-V               ; 167;   0
455 ;HD 20468                           ;*  ;03 18 43.8266513449 +34 13 21.553968857;7.86     ;6.31     ;4.82     ;3.75     ;2.99     ;K2IIbCN0.5           ; 107;   0
456 ;HD 20644                           ;*  ;03 20 20.3620712067 +29 02 54.447584385;7.81     ;6.02     ;4.47     ;3.27     ;2.39     ;K3IIIaBa0.5          ; 137;   0
457 ;* del Ari                          ;PM*;03 11 37.7665678572 +19 43 36.023197055;6.26     ;5.40     ;4.37     ;3.60     ;3.09     ;G9.5IIIb             ; 207;   0
458 ;HD 20512                           ;SB*;03 18 27.1575825960 +15 10 38.485632792;     ~   ;8.20     ;     ~   ;6.9      ;     ~   ;G8V                  ; 113;   0
459 ;* kap01 Cet                        ;BY*;03 19 21.6964175772 +03 22 12.714979884;5.71     ;5.52     ;4.85     ;4.27     ;3.91     ;G5V                  ; 948;   0
460 ;HD 20619                           ;PM*;03 19 01.8943387080 -02 50 35.493108792;7.82     ;7.697    ;7.039    ;6.691    ;6.343    ;G1.5V                ; 220;   0
461 ;* zet Eri                          ;SB*;03 15 50.0256861408 -08 49 11.036581032;5.11     ;5.03     ;4.80     ;4.59     ;4.47     ;kA4hA9mA9V           ; 155;   0
462 ;* tau04 Eri                        ;LP*;03 19 31.0006476952 -21 45 28.315429163;7.13     ;5.32     ;3.70     ;2.12     ;0.66     ;M3III-IIIaCa-1       ; 120;   0
463 ;HD 21450                           ;PM*;03 28 49.0179376920 +35 48 26.904469968;9.510    ;8.330    ;     ~   ;6.4      ;     ~   ;G5                   ;  24;   0
464 ;* f Tau                            ;SB*;03 30 52.3775767512 +12 56 12.010703172;6.25     ;5.23     ;4.10     ;3.33     ;2.79     ;K0-III               ; 111;   0
465 ;* omi Tau                          ;SB*;03 24 48.7983185016 +09 01 43.930632036;5.090    ;4.490    ;3.600    ;2.92     ;2.47     ;G6III                ; 237;   0
466 ;* ksi Tau                          ;PM*;03 27 10.1405792544 +09 43 57.871023240;3.33     ;3.66     ;3.75     ;3.76     ;3.85     ;B9Vn                 ; 198;   0
467 ;HD 21018                           ;SB*;03 23 38.9895882648 +04 52 55.570317168;7.91     ;7.36     ;6.50     ;5.83     ;5.34     ;G2III:CH-1:          ;  91;   0
468 ;* eps Eri                          ;BY*;03 32 55.8444911587 -09 27 29.739493865;5.19     ;4.61     ;3.73     ;3.00     ;2.54     ;K2V                  ;2074;   1
