C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
621 ;* gam Ori                          ;*  ;05 25 07.86325 +06 20 58.9318          ;   -8.11 -12.88     ;12.92     ;17.310     ;0.000058    ;17.31      ;0.54     ;1.42     ;1.64     ;1.73     ;1.95     ;B2III                
622 ;* 23 Ori                           ;SB*;05 22 50.0039865384 +03 32 40.051458204;  -1.802 -3.476     ;1.8431    ;18.00      ;0.000060    ;18.00      ;3.99     ;4.86     ;5.00     ;5.05     ;5.23     ;B2IV/V               
623 ;* psi01 Ori                        ;Be*;05 24 44.8273848312 +01 50 47.201915688;    1.047 0.433     ;2.9321    ;19.3       ;0.000064    ;19.30      ;3.83     ;4.76     ;4.96     ;5.04     ;5.26     ;B1Vn                 
624 ;* o Ori                            ;SB*;05 21 45.7473567408 -00 22 56.880734196;   -0.077 1.563     ;2.8587    ;28.8       ;0.000096    ;28.80      ;3.79     ;4.58     ;4.74     ;4.79     ;4.97     ;B2IV                 
625 ;HD 35299                           ;Pu*;05 23 42.3086240496 -00 09 35.347024692;   1.939 -1.024     ;2.7732    ;22.1       ;0.000074    ;22.10      ;4.610    ;5.490    ;5.700    ;5.77     ;5.96     ;B1.5V                
626 ;HD 34748                           ;*  ;05 19 35.2864358400 -01 24 42.880569876;   -0.950 2.989     ;2.7569    ;29.40      ;0.000098    ;29.40      ;5.50     ;6.24     ;6.35     ;6.34     ;6.48     ;B3V                  
627 ;* eta Ori                          ;bC*;05 24 28.61672 -02 23 49.7311          ;    -0.71 -3.46     ;3.34      ;19.8       ;0.000066    ;19.80      ;2.25     ;3.18     ;3.35     ;3.44     ;3.65     ;B1V+B2:              
628 ;* e Ori                            ;*  ;05 23 56.8277860189 -07 48 29.025349522;-14.339 -43.715     ;19.4500   ;-18.309    ;-0.000061   ;-18.31     ;5.78     ;5.08     ;4.12     ;3.40     ;2.90     ;G8+III               
629 ;* lam Lep                          ;** ;05 19 34.5223081894 -13 10 36.369844928;   3.040 -4.801     ;3.3378    ;20.2       ;0.000067    ;20.20      ;3.03     ;4.04     ;4.29     ;4.41     ;4.69     ;B0.5V                
630 ;HD 35165                           ;Be*;05 21 16.8603281544 -34 20 42.173559132;   -0.103 7.591     ;2.6605    ;20.00      ;0.000067    ;20.00      ;5.24     ;5.90     ;6.09     ;6.12     ;6.26     ;B3IVe                
631 ;* omi Col                          ;PM*;05 17 29.0887389637 -34 53 42.722762056;96.167 -339.569     ;30.7880   ;21.10      ;0.000070    ;21.10      ;6.62     ;5.83     ;4.83     ;4.09     ;3.54     ;K1IV                 
632 ;HD 35681                           ;PM*;05 28 00.9364385088 +33 45 49.332551832;19.780 -209.534     ;29.1933   ;12.16      ;0.000041    ;12.16      ;     ~   ;     ~   ;     ~   ;6.1      ;     ~   ;F7V                  
633 ;* chi Aur                          ;s*b;05 32 43.6743764213 +32 11 31.280527096;  -0.812 -3.150     ;0.9087    ;7.27       ;0.000024    ;7.27       ;4.68     ;5.15     ;4.79     ;4.42     ;4.15     ;B4Ia                 
634 ;* bet Tau                          ;PM*;05 26 17.51312 +28 36 26.8262          ;  22.76 -173.58     ;24.36     ;9.2        ;0.000031    ;9.20       ;1.03     ;1.52     ;1.65     ;1.66     ;1.76     ;B7III                
635 ;HD 36408B                          ;Be*;05 32 14.5668537096 +17 03 21.779554248;  -3.964 -9.989     ;3.0296    ;20.9       ;0.000070    ;20.90      ;6.337    ;6.527    ;6.490    ;6.410    ;6.437    ;B8V                  
636 ;* 119 Tau                          ;s*r;05 32 12.7516308641 +18 35 39.251766506;   0.957 -4.511     ;1.5207    ;23.75      ;0.000079    ;23.75      ;8.63     ;6.41     ;4.33     ;2.55     ;1.13     ;M2Iab-Ib             
637 ;HD 35956                           ;SB*;05 28 51.6281116200 +12 33 02.925812808;98.295 -209.909     ;33.7879   ;10.22      ;0.000034    ;10.22      ;7.40     ;7.35     ;6.76     ;6.25     ;5.92     ;G0V                  
638 ;HD 37171                           ;SB*;05 37 04.3824418008 +11 02 05.985111696; 51.922 -13.793     ;3.2607    ;-115.41    ;-0.000385   ;-115.39    ;9.43     ;7.50     ;5.90     ;4.71     ;3.77     ;K5III                
639 ;* phi01 Ori                        ;Y*O;05 34 49.2376273598 +09 29 22.510380606;   2.961 -2.456     ;2.6737    ;33.2       ;0.000111    ;33.20      ;3.29     ;4.26     ;4.41     ;4.42     ;4.59     ;B0.2IV               
640 ;* lam Ori                          ;** ;05 35 08.27761 +09 56 02.9611          ;    -0.34 -2.94     ;2.97      ;30.10      ;0.000100    ;30.10      ;2.45     ;3.48     ;3.66     ;3.72     ;3.89     ;O8IIIf+B0.5V         
641 ;* lam Ori B                        ;Y*?;05 35 08.4812956320 +09 56 06.099512244;   0.984 -1.986     ;2.4682    ;35.7       ;0.000119    ;35.70      ;     ~   ;     ~   ;     ~   ;5.29     ;     ~   ;B0.5V                
642 ;* phi02 Ori                        ;PM*;05 36 54.3885728561 +09 17 26.416510827;98.301 -305.022     ;28.6722   ;99.083     ;0.000331    ;99.10      ;5.70     ;5.04     ;4.09     ;3.33     ;2.78     ;G9.5IIIbFe-2.5       
643 ;HD 36824                           ;*  ;05 34 43.3586896992 +05 39 39.175600176;   -0.355 6.619     ;3.1613    ;17.10      ;0.000057    ;17.10      ;5.87     ;6.58     ;6.72     ;6.76     ;6.90     ;B3V                  
644 ;* 32 Ori                           ;** ;05 30 47.05091 +05 56 53.2925          ;    5.10 -33.30     ;10.77     ;18.60      ;0.000062    ;18.60      ;3.51     ;4.07     ;4.20     ;4.26     ;4.40     ;B5IV+B7V             
645 ;HD 35673                           ;** ;05 26 31.21809 +02 56 09.2580          ;    -0.93 -6.48     ;6.86      ;21.30      ;0.000071    ;21.30      ;6.33     ;6.53     ;6.53     ;6.46     ;6.49     ;B9V                  
646 ;* n01 Ori                          ;** ;05 31 14.53183 +03 17 31.6729          ;    -0.22 -1.50     ;2.87      ;21.60      ;0.000072    ;21.60      ;4.47     ;5.29     ;5.46     ;5.51     ;5.72     ;B3II/III             
647 ;HD 36811                           ;SB*;05 34 09.7403451960 -01 54 06.662865492;    0.290 6.751     ;6.6365    ;0.867699   ;0.000003    ;0.87       ;7.37     ;7.26     ;7.08     ;6.95     ;6.85     ;A0V                  
648 ;V* VV Ori                          ;SB*;05 33 31.4464933704 -01 09 21.859452468;  -1.088 -1.183     ;2.2654    ;22.2       ;0.000074    ;22.20      ;4.26     ;5.16     ;5.34     ;5.39     ;5.59     ;B1V+B4.5V            
649 ;* eps Ori                          ;s*b;05 36 12.81335 -01 12 06.9089          ;     1.44 -0.78     ;1.65      ;27.30      ;0.000091    ;27.30      ;0.48     ;1.51     ;1.69     ;1.76     ;1.93     ;B0Ia                 
650 ;* del Ori                          ;** ;05 32 00.40009 -00 17 56.7424          ;     0.64 -0.69     ;4.71      ;18.50      ;0.000062    ;18.50      ;0.96     ;2.02     ;2.41     ;2.32     ;2.54     ;O9.5IINwk            
651 ;HD 36003                           ;PM*;05 28 26.0955363191 -03 29 58.398928866;-307.985 -797.411   ;77.3499   ;-55.481    ;-0.000185   ;-55.48     ;9.864    ;8.777    ;7.642    ;6.968    ;6.401    ;K5V                  
652 ;HD 36134                           ;RG*;05 29 23.6846256912 -03 26 47.015398356; -29.360 -8.977     ;7.1501    ;23.1       ;0.000077    ;23.10      ;7.92     ;6.93     ;5.78     ;4.95     ;4.38     ;K1-IIIFe-0.5         
653 ;HD 36395                           ;PM*;05 31 27.3957852161 -03 40 38.024004501;761.631 -2092.209   ;175.3131  ;8.56       ;0.000029    ;8.56       ;10.626   ;9.443    ;7.968    ;6.996    ;5.913    ;M1.5Ve               
654 ;* c Ori                            ;Y*O;05 35 23.1646530684 -04 50 18.059784995;  -4.124 -1.974     ;6.5163    ;47.10      ;0.000157    ;47.10      ;3.46     ;4.40     ;4.59     ;4.67     ;4.85     ;B1V+?                
655 ;* tet01 Ori D                      ;Y*O;05 35 17.2574479992 -05 23 16.570738104;    1.822 0.393     ;2.282     ;32.4       ;0.000108    ;32.40      ;6.08     ;6.79     ;6.70     ;6.40     ;6.20     ;B1.5Vp               
656 ;* tet01 Ori A                      ;Ae*;05 35 15.8254015008 -05 23 14.334699480;    1.355 0.250     ;2.6427    ;28.30      ;0.000094    ;28.30      ;5.87     ;6.75     ;6.73     ;6.42     ;6.21     ;B0V                  
657 ;* tet02 Ori A                      ;SB*;05 35 22.9012398264 -05 24 57.832632108;    1.089 2.394     ;2.9728    ;19.00      ;0.000063    ;19.00      ;5.37     ;6.30     ;6.39     ;6.30     ;6.35     ;O9.5IVp              
658 ;HD 37017                           ;SB*;05 35 21.8667428568 -04 29 39.024375324;    1.477 1.554     ;2.7835    ;29.50      ;0.000098    ;29.50      ;5.66     ;6.43     ;6.56     ;6.61     ;6.74     ;B2/3V                
659 ;* tet02 Ori B                      ;Y*O;05 35 26.4007537560 -05 25 00.793767576;    1.161 0.162     ;2.387     ;28.5       ;0.000095    ;28.50      ;5.36     ;6.29     ;6.38     ;6.29     ;11.050   ;B0.7V                
660 ;* tet01 Ori C                      ;SB*;05 35 16.4662967280 -05 23 22.921811880;    2.262 0.994     ;2.5014    ;24.50      ;0.000082    ;24.50      ;4.20     ;5.15     ;5.13     ;4.91     ;4.73     ;O7Vp                 
661 ;* ups Ori                          ;SB*;05 31 55.8599595648 -07 18 05.535884975;  -0.704 -4.885     ;2.4567    ;16         ;0.000053    ;16.00      ;3.30     ;4.36     ;4.63     ;4.75     ;5.01     ;O9.7V                
662 ;* alf Lep                          ;*  ;05 32 43.8161188 -17 49 20.241380      ;      3.56 1.18     ;1.47      ;25.10      ;0.000084    ;25.10      ;3.02     ;2.77     ;2.57     ;2.35     ;2.14     ;F0Ib                 
663 ;* bet Lep                          ;PM*;05 28 14.7228880318 -20 45 33.997988694; -5.748 -83.650     ;20.8697   ;-14.20     ;-0.000047   ;-14.20     ;4.13     ;3.66     ;2.84     ;2.19     ;1.75     ;G5II-IIIa:           
664 ;* eps Col                          ;*  ;05 31 12.7474803792 -35 28 13.823766588; 27.627 -32.416     ;11.7300   ;-4.90      ;-0.000016   ;-4.90      ;6.09     ;5.01     ;3.87     ;3.05     ;2.45     ;K1II/III             
665 ;HD 38230                           ;PM*;05 46 01.8857259248 +37 17 04.738728231;486.410 -510.139    ;47.8551   ;-29.072    ;-0.000097   ;-29.07     ;     ~   ;8.19     ;     ~   ;6.8      ;     ~   ;K0V                  
666 ;HD 37519                           ;*  ;05 40 35.9073397656 +31 21 29.518273512;  -5.014 -7.671     ;4.1237    ;-10.20     ;-0.000034   ;-10.20     ;5.88     ;6.09     ;6.04     ;5.93     ;5.88     ;B9.5III-IVp:(Hg?)    
667 ;V* NO Aur                          ;s*r;05 40 42.0497751264 +31 55 14.197536156;   0.061 -2.959     ;0.9189    ;4.71       ;0.000016    ;4.71       ;10.52    ;8.30     ;6.21     ;4.43     ;3.02     ;M2Iab                
668 ;* 26 Aur                           ;** ;05 38 38.0850966 +30 29 32.705388      ;  -21.32 -10.10     ;5.76      ;0.80       ;0.000003    ;0.80       ;     ~   ;5.846    ;5.406    ;6.77     ;     ~   ;A2.5V+F6III          
669 ;* zet Tau                          ;Be*;05 37 38.6854231 +21 08 33.158804      ;    1.78 -20.07     ;7.33      ;20.00      ;0.000067    ;20.00      ;2.22     ;2.84     ;3.03     ;3.06     ;3.15     ;B1IVe_shell          
670 ;V* Y Tau                           ;C* ;05 45 39.4101366456 +20 41 42.148590324;   0.039 -4.532     ;1.5006    ;17.00      ;0.000057    ;17.00      ;15.71    ;9.90     ;6.90     ;4.69     ;3.19     ;C-N5-                
671 ;* 52 Ori                           ;** ;05 48 00.2337055416 +06 27 14.944887000;  1.694 -23.506     ;7.982     ;43.00      ;0.000143    ;43.00      ;     ~   ;     ~   ;     ~   ;6.56     ;     ~   ;A5V                  
672 ;* ome Ori                          ;Be*;05 39 11.1457980782 +04 07 17.288290296;   -0.210 0.436     ;1.9761    ;24.770     ;0.000083    ;24.77      ;3.73     ;4.48     ;4.59     ;4.57     ;4.67     ;B3Ve                 
673 ;* b Ori                            ;PM*;05 42 28.6322296656 +01 28 28.665837804;-54.590 -14.371     ;10.6744   ;87.55      ;0.000292    ;87.56      ;7.13     ;6.07     ;4.90     ;4.02     ;3.41     ;K1III                
674 ;HD 38529                           ;PM*;05 46 34.9131388488 +01 10 05.502949860;-77.806 -141.363    ;23.5714   ;30.24      ;0.000101    ;30.24      ;     ~   ;     ~   ;     ~   ;5.4      ;     ~   ;G8III/IV             
675 ;* sig Ori                          ;Y*O;05 38 44.7653828520 -02 36 00.283179888;       4.6 -0.4     ;3.04      ;29.90      ;0.000100    ;29.90      ;2.54     ;3.58     ;3.79     ;3.87     ;4.11     ;O9.5V+B0.2V(n)       
676 ;* sig Ori E                        ;Y*O;05 38 47.2050040320 -02 35 40.521424812;   1.284 -0.205     ;2.3077    ;26.150400  ;0.000087    ;26.15      ;5.66     ;6.38     ;6.46     ;6.84     ;7.08     ;B2IV-Vp_He           
677 ;* zet Ori                          ;** ;05 40 45.52666 -01 56 33.2649          ;      3.19 2.03     ;4.43      ;18.50      ;0.000062    ;18.50      ;0.50     ;1.56     ;1.77     ;1.85     ;2.05     ;O9.7Ib+B0III         
678 ;HD 37356                           ;*  ;05 37 53.3851682160 -04 48 50.525298828;   -1.218 1.467     ;2.1972    ;38.246300  ;0.000128    ;38.25      ;5.42     ;6.14     ;6.18     ;6.11     ;6.11     ;B3V                  
679 ;* d Ori                            ;SB*;05 38 53.0831846256 -07 12 46.187179740;-15.402 -49.302     ;22.9587   ;-11.07     ;-0.000037   ;-11.07     ;5.04     ;4.93     ;4.80     ;4.65     ;4.59     ;A4Vn                 
680 ;* kap Ori                          ;s*b;05 47 45.3888404 -09 40 10.577707      ;     1.46 -1.28     ;5.04      ;20.5       ;0.000068    ;20.50      ;0.87     ;1.88     ;2.06     ;2.09     ;2.27     ;B0.5Ia               
681 ;* gam Lep                          ;PM*;05 44 27.7906169580 -22 26 54.187756254;-291.757 -368.521   ;112.2960  ;-9.199     ;-0.000031   ;-9.20      ;4.08     ;4.07     ;3.60     ;3.15     ;2.89     ;F6V                  
682 ;* mu. Col                          ;*  ;05 45 59.8950238944 -32 18 23.162261796;  3.271 -22.176     ;1.7024    ;109.00     ;0.000364    ;109.02     ;3.84     ;4.90     ;5.18     ;5.30     ;5.57     ;O9.5V                
683 ;* alf Col                          ;Be*;05 39 38.9410319 -34 04 26.794991      ;  1.685 -24.345     ;11.4008   ;35.00      ;0.000117    ;35.00      ;2.10     ;2.53     ;2.65     ;2.65     ;2.74     ;B9Ve                 
684 ;* bet Aur                          ;SB*;05 59 31.7229284 +44 56 50.757259      ;   -56.44 -0.95     ;40.21     ;-15.75     ;-0.000053   ;-15.75     ;1.97     ;1.93     ;1.90     ;1.82     ;1.83     ;A1IV-Vp              
685 ;* tau Aur                          ;*  ;05 49 10.4375785154 +39 10 51.860340710;-28.265 -25.064     ;15.5486   ;-18.473301 ;-0.000062   ;-18.47     ;6.160    ;5.450    ;4.500    ;3.80     ;3.31     ;G8IIIbFe-1           
686 ;* nu. Aur                          ;*  ;05 51 29.3694581040 +39 08 54.686085540;    7.958 0.713     ;16.1414   ;9.92       ;0.000033    ;9.92       ;6.160    ;5.090    ;3.950    ;3.15     ;2.59     ;K0.5IIICN0.5         
687 ;* ups Aur                          ;PM*;05 51 02.4372885624 +37 18 20.050901892; 36.426 -45.606     ;5.7358    ;37.67      ;0.000126    ;37.67      ;8.29     ;6.36     ;4.74     ;3.38     ;2.31     ;M0III                
688 ;* tet Aur                          ;a2*;05 59 43.27012 +37 12 45.3047          ;   43.63 -73.79     ;19.70     ;29.30      ;0.000098    ;29.30      ;2.36     ;2.54     ;2.62     ;2.62     ;2.68     ;A0VpSi               
689 ;V* V440 Aur                        ;LP?;05 51 25.7504478024 +32 07 28.891121016;    7.693 0.290     ;3.254     ;102.30     ;0.000341    ;102.32     ;10.04    ;8.00     ;6.26     ;4.69     ;3.30     ;M3III                
690 ;HD 39586                           ;SB*;05 54 58.9894743408 +31 42 05.356859472;-44.486 -178.450    ;12.5444   ;-20.8      ;-0.000069   ;-20.80     ;6.150    ;6.030    ;     ~   ;5.8      ;     ~   ;A5IV                 
691 ;* 139 Tau                          ;s*b;05 57 59.6569390499 +25 57 14.083803544;  -1.909 -2.109     ;0.8615    ;8.00       ;0.000027    ;8.00       ;3.82     ;4.76     ;4.82     ;4.76     ;4.87     ;B1Ia                 
692 ;V* U Ori                           ;Mi*;05 55 49.1707632432 +20 10 30.677904084; -12.355 -6.479     ;3.4924    ;-19.50     ;-0.000065   ;-19.50     ;6.82     ;6.39     ;5.40     ;6.24     ;     ~   ;M6-9.5e              
693 ;* chi01 Ori                        ;SB*;05 54 22.9829893 +20 16 34.222038      ; -162.54 -99.51     ;115.43    ;-15.42     ;-0.000051   ;-15.42     ;5.08     ;5.00     ;4.40     ;3.90     ;3.59     ;G0V                  
694 ;* alf Ori                          ;s*r;05 55 10.30536 +07 24 25.4304          ;    27.54 11.30     ;6.55      ;21.91      ;0.000073    ;21.91      ;4.38     ;2.27     ;0.42     ;-1.17    ;-2.45    ;M1-M2Ia-Iab          
695 ;HD 40397                           ;PM*;05 58 21.5359747032 -04 39 02.421639504;74.849 -200.354     ;41.5366   ;143.578    ;0.000479    ;143.61     ;7.974    ;7.715    ;6.984    ;6.578    ;6.183    ;F7V                  
696 ;* eta Lep                          ;PM*;05 56 24.2934904501 -14 10 03.718335613;-41.474 139.222     ;66.8573   ;-2.14      ;-0.000007   ;-2.14      ;4.05     ;4.05     ;3.72     ;3.39     ;3.23     ;F2V                  
697 ;* del Lep                          ;PM*;05 51 19.2960278488 -20 52 44.730655825;229.027 -647.930    ;28.4234   ;101.76     ;0.000339    ;101.78     ;5.54     ;4.83     ;3.85     ;2.99     ;2.43     ;K0IIIbFe-1.5CH0.5    
698 ;* lam Col                          ;El?;05 53 06.8816254656 -33 48 04.907584296;  -4.095 31.125     ;9.466     ;30.0       ;0.000100    ;30.00      ;4.16     ;4.72     ;4.87     ;4.94     ;5.09     ;B5V                  
699 ;* bet Col                          ;PM*;05 50 57.5922846925 -35 46 05.914636356; 54.452 404.600     ;36.9038   ;89.40      ;0.000298    ;89.41      ;5.49     ;4.28     ;3.12     ;2.27     ;1.69     ;K1III_CN+1           
700 ;* eta Col                          ;*  ;05 59 08.8050886417 -42 48 54.476316668; 18.897 -11.038     ;7.4021    ;17.00      ;0.000057    ;17.00      ;6.18     ;5.10     ;3.96     ;3.14     ;2.56     ;G8/K1II              
701 ;* 38 Aur                           ;PM*;06 03 17.9529224712 +42 54 41.391470592;117.154 -134.625    ;15.2477   ;34.06      ;0.000114    ;34.06      ;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;K0III                
702 ;HD 40979                           ;PM*;06 04 29.9431332528 +44 15 37.593981720;95.066 -152.651     ;29.4299   ;32.47      ;0.000108    ;32.47      ;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;F8                   
703 ;* 39 Aur                           ;PM*;06 05 03.3846976704 +42 58 53.888575152;-44.854 -146.396    ;20.0918   ;34.1       ;0.000114    ;34.10      ;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F3V                  
704 ;HD 41330                           ;PM*;06 06 08.5350860383 +35 23 15.860287421;-123.998 -295.765   ;38.9840   ;-15.586    ;-0.000052   ;-15.59     ;     ~   ;6.72     ;     ~   ;5.8      ;     ~   ;G0V                  
705 ;HD 40832                           ;PM*;06 02 55.1727334152 +32 38 08.507027940;80.425 -211.554     ;20.572    ;32.09      ;0.000107    ;32.09      ;     ~   ;6.66     ;     ~   ;5.9      ;     ~   ;F4V                  
706 ;V* OX Gem                          ;s*r;06 08 47.7863565120 +25 38 44.092236696; -5.166 -44.660     ;2.5841    ;4.43       ;0.000015    ;4.43       ;11.03    ;9.19     ;7.55     ;6.01     ;4.61     ;M5Ib                 
707 ;* 1 Gem                            ;** ;06 04 07.21544 +23 15 48.0401          ;  -1.61 -118.33     ;21.03     ;22.39      ;0.000075    ;22.39      ;5.54     ;5.02     ;4.15     ;3.47     ;3.02     ;G5III                
708 ;* chi02 Ori                        ;s*b;06 03 55.1843706432 +20 08 18.428141364;   0.962 -2.500     ;0.7636    ;16.8       ;0.000056    ;16.80      ;4.24     ;4.91     ;4.63     ;4.32     ;4.10     ;B2Ia                 
709 ;V* V1386 Ori                       ;PM*;06 06 40.4780487600 +15 32 31.578871020;-120.716 -103.486   ;63.4065   ;-9.776     ;-0.000033   ;-9.78      ;8.016    ;7.565    ;     ~   ;6.2      ;     ~   ;K0V                  
710 ;HD 41304                           ;PM*;06 04 58.2354664248 +14 23 18.373231428;86.193 -187.315     ;24.2601   ;39.856     ;0.000133    ;39.86      ;7.170    ;7.180    ;     ~   ;6.4      ;     ~   ;F6V                  
711 ;* mu. Ori A                        ;SB*;06 02 22.996728 +09 38 50.23790        ;     11.7 -34.1     ;      ~   ;~          ;~           ;~          ;4.56     ;4.43     ;4.30     ;4.15     ;4.09     ;A1Vm                 
712 ;* mu. Ori B                        ;SB*;06 02 23.008512 +09 38 50.51978        ;     11.7 -34.1     ;21.690    ;43.6       ;0.000145    ;43.60      ;7.34     ;6.94     ;6.27     ;6.50     ;6.27     ;F2V                  
713 ;* mu. Ori                          ;SB*;06 02 22.99668 +09 38 50.1820          ;   10.43 -39.09     ;21.05     ;0.00       ;0.000000    ;0.00       ;4.40     ;     ~   ;     ~   ;3.94     ;3.86     ;A1Vm+F2V             
714 ;HD 40657                           ;PM*;06 00 03.3496339392 -03 04 27.330496968; 10.754 -73.701     ;9.7817    ;25.9       ;0.000086    ;25.90      ;6.95     ;5.74     ;4.52     ;3.59     ;2.92     ;K1.5III-IIIbCN-1     
715 ;HD 41335                           ;Be*;06 04 13.5003372120 -06 42 32.225392980;   -3.804 3.623     ;2.0004    ;24.10      ;0.000080    ;24.10      ;4.31     ;5.14     ;5.21     ;5.13     ;5.09     ;B1V                  
716 ;V* S Lep                           ;AB*;06 05 45.5496784008 -24 11 44.015025408;  4.426 -15.107     ;3.8975    ;12.00      ;0.000040    ;12.00      ;9.72     ;8.42     ;6.82     ;4.12     ;1.75     ;M6+IIIa              
717 ;* kap Aur                          ;PM*;06 15 22.6883791803 +29 29 53.075320396;-72.404 -261.101    ;18.2703   ;20.74      ;0.000069    ;20.74      ;6.17     ;5.36     ;4.35     ;3.55     ;3.01     ;G8.5IIIb             
718 ;* 6 Gem                            ;s*r;06 12 19.0988355816 +22 54 30.653107164;   0.144 -2.085     ;0.5642    ;27.16      ;0.000091    ;27.16      ;11.11    ;8.63     ;6.39     ;4.55     ;3.07     ;M1-M2Ia-Iab          
719 ;V* WY Gem                          ;s*r;06 11 56.2504087680 +23 12 25.413007284;   0.450 -2.380     ;0.5169    ;19.52      ;0.000065    ;19.52      ;10.24    ;9.20     ;7.38     ;5.57     ;4.04     ;M2Iabep+B:           
720 ;* 9 Gem                            ;s*b;06 16 58.7058631680 +23 44 27.284070336;   0.604 -1.360     ;0.5467    ;13.2       ;0.000044    ;13.20      ;6.31     ;6.70     ;6.25     ;5.78     ;5.38     ;B3Iab                
721 ;* eta Gem                          ;RG*;06 14 52.6452865329 +22 30 24.434377815; -59.530 -7.766     ;4.7312    ;22.39      ;0.000075    ;22.39      ;6.55     ;4.89     ;3.28     ;1.79     ;0.48     ;M2IIIa               
722 ;V* TV Gem                          ;s*r;06 11 51.4142883048 +21 52 05.653085916;  -0.217 -2.013     ;0.4776    ;20.42      ;0.000068    ;20.42      ;10.58    ;8.81     ;6.56     ;4.65     ;3.17     ;M0-M1.5Iab           
723 ;* 71 Ori                           ;PM*;06 14 50.8763445432 +19 09 23.212428948;-97.608 -182.448    ;45.9214   ;34.375     ;0.000115    ;34.38      ;     ~   ;5.64     ;     ~   ;4.9      ;     ~   ;F5.5IV-V             
724 ;* f01 Ori                          ;Be*;06 12 03.2799360825 +16 07 49.453623814;  5.510 -17.108     ;5.0265    ;22.0       ;0.000073    ;22.00      ;4.21     ;4.80     ;4.92     ;4.94     ;5.08     ;B5Vn                 
725 ;* ksi Ori                          ;SB*;06 11 56.3970486042 +14 12 31.562148507;  1.006 -19.929     ;4.5235    ;19.30      ;0.000064    ;19.30      ;3.65     ;4.31     ;4.48     ;4.53     ;4.69     ;B3IV                 
726 ;* k Ori                            ;PM*;06 16 26.6191067712 +12 16 19.787639592; 82.775 186.480     ;51.0518   ;8.943      ;0.000030    ;8.94       ;     ~   ;5.46     ;     ~   ;4.8      ;     ~   ;F5V                  
727 ;HD 42807                           ;RS*;06 13 12.5028624208 +10 37 37.712484445;78.250 -297.551     ;53.7653   ;6.057      ;0.000020    ;6.06       ;     ~   ;7.12     ;     ~   ;6.0      ;     ~   ;G5V                  
728 ;HD 42618                           ;PM*;06 12 00.5668858951 +06 46 59.057784676;197.247 -254.867    ;40.9764   ;-53.478    ;-0.000178   ;-53.47     ;7.632    ;7.496    ;6.839    ;6.478    ;6.143    ;G4V                  
729 ;V* V1056 Ori                       ;LP*;06 20 48.3357338328 +05 44 26.163339432;   1.629 -1.335     ;0.7563    ;12.83      ;0.000043    ;12.83      ;11.92    ;9.96     ;8.04     ;6.10     ;4.46     ;M3Ib-II              
730 ;HD 42983                           ;PM*;06 13 52.7553556536 +02 48 31.881343500;61.991 -263.827     ;16.1104   ;-25.545    ;-0.000085   ;-25.54     ;     ~   ;8.34     ;     ~   ;6.8      ;     ~   ;K0IV                 
731 ;HD 43587                           ;SB*;06 17 16.1297031648 +05 05 59.904745548;-211.532 166.651    ;51.6165   ;8.67       ;0.000029    ;8.67       ;6.400    ;6.29     ;5.70     ;5.3      ;     ~   ;G0V                  
732 ;* gam Mon                          ;*  ;06 14 51.3332136229 -06 16 29.196403308; -5.601 -18.662     ;5.1056    ;-4.80      ;-0.000016   ;-4.80      ;6.69     ;5.27     ;3.96     ;2.99     ;2.36     ;K1III:               
733 ;HD 44458                           ;Be*;06 21 24.7165403448 -11 46 23.666159604;   -2.273 1.193     ;1.8635    ;16.00      ;0.000053    ;16.00      ;4.74     ;5.56     ;5.55     ;5.38     ;5.34     ;B1.5IVe              
734 ;HD 43544                           ;Be*;06 16 07.6914321072 -16 37 04.823463504;   -8.343 0.832     ;3.2307    ;13.6       ;0.000045    ;13.60      ;4.98     ;5.75     ;5.91     ;5.95     ;6.08     ;B2/B3Ve              
735 ;HD 43162                           ;LM*;06 13 45.2953762392 -23 51 42.971547996;-47.564 111.085     ;59.885    ;21.91      ;0.000073    ;21.91      ;     ~   ;7.068    ;6.366    ;5.94     ;5.61     ;G6.5V                
736 ;* del Col                          ;SB*;06 22 06.8249488320 -33 26 11.036211216;-22.946 -52.045     ;15.049    ;-2.6       ;-0.000009   ;-2.60      ;5.25     ;4.73     ;3.85     ;3.18     ;2.71     ;G7II                 
737 ;* kap Col                          ;PM*;06 16 33.1354849246 -35 08 25.854360482;   0.614 87.903     ;17.3842   ;23.20      ;0.000077    ;23.20      ;6.20     ;5.37     ;4.37     ;3.64     ;3.13     ;G9IIIbCN0.5          
738 ;HD 45391                           ;PM*;06 28 46.0330892312 +36 28 47.961968028;-291.106 -218.150   ;40.8393   ;-5.318     ;-0.000018   ;-5.32      ;7.810    ;7.760    ;7.160    ;6.64     ;6.29     ;G1V                  
