C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
26  ;HD 218739                          ;PM*;23 09 58.8746249256 +47 57 33.852404232; 154.483 -4.642     ;32.9913   ;-5.68      ;-0.000019   ;-5.68      ;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G1V                  
27  ;HD 222155                          ;PM*;23 38 00.3071976552 +48 59 47.487330060;195.306 -117.335    ;19.802    ;-43.979    ;-0.000147   ;-43.98     ;     ~   ;7.76     ;     ~   ;6.7      ;     ~   ;G0                   
28  ;HD 224465                          ;SB*;23 58 06.8138479560 +50 26 51.634766940;-46.113 244.761     ;40.7348   ;4.31       ;0.000014    ;4.31       ;     ~   ;7.30     ;     ~   ;6.3      ;     ~   ;G4V                  
29  ;* omi Cas                          ;Be*;00 44 43.5186007265 +48 17 03.731037403;  17.415 -8.947     ;0.5116    ;-16.9      ;-0.000056   ;-16.90     ;3.91     ;4.44     ;4.50     ;4.45     ;4.50     ;B5IIIe               
30  ;* phi And                          ;Be*;01 09 30.12562 +47 14 30.4594          ;    4.05 -12.43     ;4.55      ;-2.20      ;-0.000007   ;-2.20      ;3.84     ;4.18     ;4.25     ;4.22     ;4.27     ;B5IIIe               
31  ;HD 10086                           ;PM*;01 39 36.0182613965 +45 52 39.984060559;217.426 -227.842    ;47.5821   ;2.146      ;0.000007    ;2.15       ;     ~   ;7.30     ;     ~   ;6.2      ;     ~   ;G5V                  
32  ;HD 10486                           ;PM*;01 43 16.5039312816 +45 19 21.537082092;  139.409 5.479     ;18.0939   ;9.30       ;0.000031    ;9.30       ;8.31     ;7.36     ;6.32     ;5.58     ;5.09     ;K0                   
33  ;* 12 Per                           ;SB*;02 42 14.9145674304 +40 11 38.221732500;-18.669 -186.190    ;41.7962   ;-23.04     ;-0.000077   ;-23.04     ;5.65     ;5.51     ;4.92     ;4.42     ;4.12     ;F9V                  
34  ;* pi. Per                          ;*  ;02 58 45.6701619312 +39 39 45.815580720; 25.048 -41.522     ;10.4437   ;14.2       ;0.000047    ;14.20      ;4.88     ;4.76     ;4.70     ;4.60     ;4.56     ;A2Vn                 
35  ;* rho Per                          ;LP*;03 05 10.59385 +38 50 24.9943          ; 129.22 -105.70     ;10.60     ;27.067200  ;0.000090    ;27.07      ;6.83     ;5.04     ;3.39     ;1.59     ;-0.03    ;M4+IIIa              
36  ;HD 196850                          ;PM*;20 38 40.1900743416 +38 38 06.337967064;201.043 -192.983    ;36.6832   ;-21.020    ;-0.000070   ;-21.02     ;     ~   ;7.37     ;     ~   ;6.4      ;     ~   ;G1V                  
37  ;HD 199580                          ;PM*;20 56 48.0211616347 +42 53 44.389479299;218.968 224.881     ;11.4368   ;-20.91     ;-0.000070   ;-20.91     ;     ~   ;8.17     ;     ~   ;6.6      ;     ~   ;K1IV                 
38  ;* nu. Cyg                          ;** ;20 57 10.4187305125 +41 10 01.671428052;  11.263 -6.735     ;7.9568    ;-27.60     ;-0.000092   ;-27.60     ;3.96     ;3.96     ;3.94     ;3.89     ;3.89     ;A0IIIn               
39  ;* ksi Cyg                          ;SB*;21 04 55.8599363125 +43 55 40.272058234;   10.062 0.861     ;2.8363    ;-19.10     ;-0.000064   ;-19.10     ;7.17     ;5.39     ;3.73     ;2.55     ;1.63     ;K4.5Ib-II            
40  ;* rho Cyg                          ;PM*;21 33 58.8530450102 +45 35 30.620055459;-24.341 -93.511     ;25.9359   ;6.88       ;0.000023    ;6.88       ;5.47     ;4.91     ;4.02     ;3.31     ;2.81     ;G8IIIFe-0.5          
41  ;V* W Cyg                           ;AB*;21 36 02.4974143922 +45 22 28.523281074;   62.004 0.200     ;5.1760    ;-12.87     ;-0.000043   ;-12.87     ;8.21     ;6.97     ;5.38     ;3.03     ;0.89     ;M4e-M6eIII           
42  ;* alf Lac                          ;PM*;22 31 17.5014213452 +50 16 56.969913082; 137.243 17.540     ;31.4943   ;-12.66     ;-0.000042   ;-12.66     ;3.78     ;3.78     ;3.77     ;3.77     ;3.80     ;A1V                  
43  ;* 4 Lac                            ;s*b;22 24 30.9914928480 +49 28 35.010584652;  -5.274 -3.303     ;1.2656    ;-26.00     ;-0.000087   ;-26.00     ;4.33     ;4.67     ;4.58     ;4.45     ;4.35     ;B9Iab-Ib             
44  ;* 9 Lac                            ;PM*;22 37 22.4179184437 +51 32 42.435680257;-52.606 -103.664    ;18.6783   ;11.22      ;0.000037    ;11.22      ;4.98     ;4.87     ;4.63     ;4.41     ;4.27     ;A9VkA7mA6            
45  ;HD 214780                          ;PM*;22 39 34.2196821936 +51 09 20.306332332; 179.624 50.982     ;12.1173   ;-3.77      ;-0.000013   ;-3.77      ;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   
46  ;HD 216275                          ;PM*;22 50 46.3454461008 +52 03 41.171295312;143.874 170.223     ;30.9876   ;13.700     ;0.000046    ;13.70      ;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   
47  ;* 3 And                            ;PM*;23 04 10.9826882352 +50 03 07.525524888;165.837 167.716     ;17.2629   ;-34.422401 ;-0.000115   ;-34.42     ;     ~   ;5.71     ;     ~   ;4.0      ;     ~   ;K0IIIb               
48  ;V* V424 Lac                        ;s*r;22 56 25.9983901008 +49 44 00.758688324;  -0.649 -2.768     ;1.4018    ;-10.37     ;-0.000035   ;-10.37     ;8.66     ;6.71     ;4.94     ;3.59     ;2.54     ;K5Ib                 
